idx,Date,count,Day_Of_Wk
210,2014-03-17,45,Mon
211,2014-03-18,21,Tues
212,2014-03-19,26,Weds
213,2014-03-20,14,Thurs
214,2014-03-21,13,Fri
215,2014-03-22,2,Sat
216,2014-03-23,11,Sun
217,2014-03-24,13,Mon
218,2014-03-25,28,Tues
219,2014-03-26,25,Weds
220,2014-03-27,24,Thurs
221,2014-03-28,22,Fri
222,2014-03-29,22,Sat
223,2014-03-30,20,Sun
224,2014-03-31,19,Mon
225,2014-04-01,11,Tues
226,2014-04-02,6,Weds
227,2014-04-03,14,Thurs
228,2014-04-04,8,Fri
229,2014-04-05,6,Sat
230,2014-04-06,3,Sun
231,2014-04-07,8,Mon
232,2014-04-08,20,Tues
233,2014-04-09,11,Weds
234,2014-04-10,14,Thurs
235,2014-04-11,16,Fri
236,2014-04-12,20,Sat
237,2014-04-13,44,Sun
238,2014-04-14,18,Mon
239,2014-04-15,22,Tues
240,2014-04-16,12,Weds
241,2014-04-17,23,Thurs
242,2014-04-18,10,Fri
243,2014-04-19,29,Sat
244,2014-04-20,1,Sun
245,2014-04-21,8,Mon
246,2014-04-22,11,Tues
247,2014-04-23,23,Weds
248,2014-04-24,18,Thurs
249,2014-04-25,24,Fri
250,2014-04-26,19,Sat
251,2014-04-27,33,Sun
252,2014-04-28,12,Mon
253,2014-04-29,24,Tues
254,2014-04-30,31,Weds
255,2014-05-01,14,Thurs
256,2014-05-02,22,Fri
257,2014-05-03,30,Sat
258,2014-05-04,20,Sun
259,2014-05-05,14,Mon
260,2014-05-06,23,Tues
261,2014-05-07,25,Weds
262,2014-05-08,20,Thurs
263,2014-05-09,9,Fri
264,2014-05-10,24,Sat
265,2014-05-11,8,Sun
266,2014-05-12,14,Mon
267,2014-05-13,21,Tues
268,2014-05-14,7,Weds
269,2014-05-15,30,Thurs
270,2014-05-16,15,Fri
271,2014-05-17,16,Sat
272,2014-05-18,19,Sun
273,2014-05-19,2,Mon
274,2014-05-20,9,Tues
275,2014-05-21,13,Weds
276,2014-05-22,37,Thurs
277,2014-05-23,11,Fri
278,2014-05-24,4,Sat
279,2014-05-25,11,Sun
280,2014-05-26,20,Mon
281,2014-05-27,31,Tues
