Date,count
2014-08-12,1
2014-08-13,2
2014-08-14,3
2014-08-16,11
2014-08-17,11
2014-08-18,4
2014-08-20,19
2014-08-21,2
2014-08-23,10
2014-08-24,14
2014-08-25,4
2014-08-26,5
2014-08-27,21
2014-08-28,14
2014-08-30,12
2014-08-31,30
2014-09-01,20
2014-09-02,15
2014-09-03,26
2014-09-04,37
2014-09-05,17
2014-09-06,10
2014-09-07,19
2014-09-08,24
2014-09-09,16
2014-09-10,21
2014-09-11,11
2014-09-12,20
2014-09-13,42
2014-09-14,11
2014-09-15,17
2014-09-16,18
2014-09-17,41
2014-09-18,44
2014-09-19,44
2014-09-20,29
2014-09-21,42
2014-09-22,10
2014-09-23,17
2014-09-24,19
2014-09-25,42
2014-09-26,34
2014-09-27,39
2014-09-28,24
2014-09-29,10
2014-09-30,46
2014-10-01,34
2014-10-02,18
2014-10-03,62
2014-10-04,51
2014-10-05,9
2014-10-06,20
2014-10-07,27
2014-10-08,7
2014-10-09,16
2014-10-10,7
2014-10-11,10
2014-10-12,1
2014-10-13,1
2014-10-14,10
2014-10-15,23
2014-10-16,22
2014-10-17,14
2014-10-18,14
2014-10-19,28
2014-10-20,21
2014-10-21,28
2014-10-22,16
2014-10-23,12
2014-10-24,1
2014-10-25,17
2014-10-26,21
2014-10-27,21
2014-10-28,37
2014-10-29,22
2014-10-30,30
2014-10-31,17
2014-11-01,44
2014-11-02,16
2014-11-03,44
2014-11-04,33
2014-11-05,13
2014-11-06,22
2014-11-07,23
2014-11-08,1
2014-11-09,8
2014-11-10,10
2014-11-11,17
2014-11-12,41
2014-11-13,8
2014-11-14,1
2014-11-15,22
2014-11-16,10
2014-11-17,21
2014-11-18,19
2014-11-19,31
2014-11-20,20
2014-11-21,28
2014-11-22,6
2014-11-23,5
2014-11-24,3
2014-11-25,1
2014-11-26,18
2014-11-27,17
2014-11-28,10
2014-11-29,8
2014-11-30,32
2014-12-01,30
2014-12-02,41
2014-12-03,36
2014-12-04,9
2014-12-05,27
2014-12-06,54
2014-12-07,15
2014-12-08,36
2014-12-09,25
2014-12-10,36
2014-12-11,56
2014-12-12,42
2014-12-13,45
2014-12-14,15
2014-12-15,73
2014-12-16,13
2014-12-17,13
2014-12-18,14
2014-12-19,16
2014-12-20,32
2014-12-21,23
2014-12-22,18
2014-12-23,15
2014-12-24,12
2014-12-25,6
2014-12-26,5
2014-12-27,15
2014-12-28,23
2014-12-29,6
2014-12-30,27
2014-12-31,56
2015-01-01,19
2015-01-02,21
2015-01-03,29
2015-01-04,4
2015-01-05,11
2015-01-06,11
2015-01-07,15
2015-01-08,9
2015-01-09,11
2015-01-10,23
2015-01-11,34
2015-01-12,17
2015-01-13,12
2015-01-14,18
2015-01-15,48
2015-01-16,14
2015-01-17,8
2015-01-18,30
2015-01-19,10
2015-01-20,12
2015-01-21,17
2015-01-22,8
2015-01-23,7
2015-01-24,10
2015-01-25,25
2015-01-26,25
2015-01-27,23
2015-01-28,26
2015-01-29,12
2015-01-30,17
2015-01-31,15
2015-02-01,34
2015-02-02,31
2015-02-03,31
2015-02-04,40
2015-02-05,17
2015-02-06,22
2015-02-07,42
2015-02-08,23
2015-02-09,46
2015-02-10,56
2015-02-11,28
2015-02-12,18
2015-02-13,38
2015-02-14,42
2015-02-15,35
2015-02-16,35
2015-02-17,31
2015-02-18,16
2015-02-19,7
2015-02-20,8
2015-02-21,36
2015-02-22,23
2015-02-23,26
2015-02-24,31
2015-02-25,3
2015-02-26,40
2015-02-27,10
2015-02-28,50
2015-03-01,42
2015-03-02,9
2015-03-03,15
2015-03-04,26
2015-03-05,46
2015-03-06,42
2015-03-07,3
2015-03-08,23
2015-03-09,39
2015-03-10,46
2015-03-11,5
